Magnification,cosmology_parameters_cosmology_name,detector_parameters_background_noise,detector_parameters_ccd_gain,detector_parameters_exposure_time,detector_parameters_magnitude_zero_point,detector_parameters_num_exposures,detector_parameters_pixel_scale,detector_parameters_read_noise,detector_parameters_sky_brightness,lens_light_parameters_R_sersic,lens_light_parameters_center_x,lens_light_parameters_center_y,lens_light_parameters_e1,lens_light_parameters_e2,lens_light_parameters_mag_app,lens_light_parameters_n_sersic,lens_light_parameters_output_ab_zeropoint,lens_light_parameters_z_source,main_deflector_parameters_M200,main_deflector_parameters_center_x,main_deflector_parameters_center_y,main_deflector_parameters_dec_0,main_deflector_parameters_e1,main_deflector_parameters_e2,main_deflector_parameters_gamma,main_deflector_parameters_gamma1,main_deflector_parameters_gamma2,main_deflector_parameters_ra_0,main_deflector_parameters_theta_E,main_deflector_parameters_z_lens,psf_parameters_fwhm,psf_parameters_psf_type,seed,source_parameters_R_sersic,source_parameters_center_x,source_parameters_center_y,source_parameters_e1,source_parameters_e2,source_parameters_mag_app,source_parameters_n_sersic,source_parameters_output_ab_zeropoint,source_parameters_z_source
4.151270084022781,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.4479857333568338,0.12445615836966278,-0.09055779691803278,0.0,0.0,16.151428694278703,4.0,27.79,def,10000000000000.0,0.12445615836966278,-0.09055779691803278,0.0,0.0,0.0,2.2783064856970054,0.0,0.0,0.0,1.675435783820173,0.6816723563240745,0.71,GAUSSIAN,[2752561167],0.11593506226029257,0.47976817124991733,0.48374304089273273,-0.1520136391477453,-0.229476610230941,25.343294964222068,1.0,27.79,1.4916120531898236
6.554287057432495,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.779833199915242,0.009780266175397154,0.06475234106888596,0.0,0.0,16.82466867625284,4.0,27.79,def,10000000000000.0,0.009780266175397154,0.06475234106888596,0.0,0.0,0.0,1.9714721151378072,0.0,0.0,0.0,2.170452723333007,0.3868488821574214,0.71,GAUSSIAN,[2752561168],0.5072910237097865,0.8034797210606606,-0.1733166669343518,0.09308323409769838,-0.359411712254429,24.30987986252279,1.0,27.79,1.7013075825607678
4.499073957447161,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.0353644525308088,-0.27917981920562196,-0.1477106338926458,0.0,0.0,19.344292282771093,4.0,27.79,def,10000000000000.0,-0.27917981920562196,-0.1477106338926458,0.0,0.0,0.0,1.868787388972284,0.0,0.0,0.0,1.7232150141380587,1.3362044092772112,0.71,GAUSSIAN,[2752561169],0.3868102852001053,-0.6130965951935248,0.4911506194975822,0.25297425032608606,0.5193572890288896,24.416248021705915,1.0,27.79,1.8065758830774667
6.243745622948304,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.7110467061324747,-0.06790625771693445,0.013168450810225642,0.0,0.0,17.2837772933754,4.0,27.79,def,10000000000000.0,-0.06790625771693445,0.013168450810225642,0.0,0.0,0.0,2.1148582970470966,0.0,0.0,0.0,1.6323921991391888,0.29664721385788073,0.71,GAUSSIAN,[2752561170],0.4181145737409355,0.055959021190035374,0.524309519961094,-0.048288203271439345,0.27890138623305494,25.89935916235761,1.0,27.79,1.7237954946576797
13.239116611747935,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.7212470061146932,0.15559144097703398,0.2314410023357273,0.0,0.0,20.008708375622806,4.0,27.79,def,10000000000000.0,0.15559144097703398,0.2314410023357273,0.0,0.0,0.0,1.835953040089745,0.0,0.0,0.0,1.7212948455906905,0.41115259178195085,0.71,GAUSSIAN,[2752561171],0.38896599079605754,0.33139381429404646,0.03376577784377648,-0.27272914685630184,-0.37751170547498014,26.11026065140566,1.0,27.79,1.047267582415481
2.5527434329888856,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.7439756947278773,-0.2571977511357339,-0.009808599096841291,0.0,0.0,19.364558337577392,4.0,27.79,def,10000000000000.0,-0.2571977511357339,-0.009808599096841291,0.0,0.0,0.0,1.9291439194916082,0.0,0.0,0.0,1.5264994222929138,0.012524028394032882,0.71,GAUSSIAN,[2752561172],0.2940305845820753,0.29218799207924107,-1.208149595969791,-0.3078871093731175,0.1966239591349877,25.34688947376955,1.0,27.79,1.7075941250811189
1.9416319307244516,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.2089009346469026,-0.2067715902334698,-0.0820347954126709,0.0,0.0,16.396010765173372,4.0,27.79,def,10000000000000.0,-0.2067715902334698,-0.0820347954126709,0.0,0.0,0.0,1.9851816378866518,0.0,0.0,0.0,1.0598505543342491,0.2906064002675159,0.71,GAUSSIAN,[2752561173],0.3014249151319474,0.2644957382069161,1.071790614801767,-0.1776555062113632,-0.2089518016961552,27.120532675551004,1.0,27.79,1.32156656998808
0.7982733587286118,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.6842557900808826,-0.1160366994977077,0.13373339725004818,0.0,0.0,19.6138372460305,4.0,27.79,def,10000000000000.0,-0.1160366994977077,0.13373339725004818,0.0,0.0,0.0,1.9104372911650533,0.0,0.0,0.0,0.810646974735858,0.30254598323830556,0.71,GAUSSIAN,[2752561174],0.036120161348030366,-0.31941287167480903,0.7724294794536277,-0.08927665412994823,-0.3632192654987328,25.216718993792284,1.0,27.79,1.1122452653770536
4.542610466679645,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.6063182129791893,-0.0034277757173526023,0.0070123192243512185,0.0,0.0,17.15945540453599,4.0,27.79,def,10000000000000.0,-0.0034277757173526023,0.0070123192243512185,0.0,0.0,0.0,2.3021638752115354,0.0,0.0,0.0,1.7255297969652796,0.5169340695409683,0.71,GAUSSIAN,[2752561175],0.3184216438578339,0.23972254291803397,-0.6178749106942689,-0.08483469685766393,0.04195659950583523,24.152675858010817,1.0,27.79,0.8066731650793587
4.6801483994530555,planck18,,2.3,30,27.79,230,0.2,10,20.48,2.0202785850599563,0.04322433312364552,-0.15265521765243514,0.0,0.0,20.205721972522,4.0,27.79,def,10000000000000.0,0.04322433312364552,-0.15265521765243514,0.0,0.0,0.0,2.33900150240797,0.0,0.0,0.0,1.4636586614557976,0.48616304731834104,0.71,GAUSSIAN,[2752561176],0.47638414610574076,-0.39230651851958864,0.0029050936198725995,0.12216713148233004,0.15149297111399815,26.090193661751847,1.0,27.79,0.6609172514476155
